user_id|session_id|link_count|unique_link_count|session_duration_in_s|vid_count|unique_vid_count|total_vid_view
86|330426|80|72|30325|330426|40|1
86|330502|50|46|30051|330502|25|1
86|330578|28|25|7542|330578|16|1
86|330744|71|62|25222|330744|29|1
86|340829|47|39|18257|340829|22|1
86|340908|24|17|8591|340908|1|8570
86|340942|21|16|6137|340942|4|1
86|341024|12|9|19635|341024|1|1
86|341123|16|10|25796|341123|2|1
86|341331|10|7|667|341331|3|1
86|341478|12|11|1442|341478|6|1
86|341506|19|10|1898|341506|1|1
86|341655|24|8|1443|341655|3|1
86|341891|14|7|6533|341891|3|1
86|343606|21|17|17233|343606|3|1
86|344284|46|37|22715|344284|28|1
86|344365|37|30|22625|344365|14|1
86|344460|41|28|23321|344460|13|1
86|344852|31|20|16864|344852|6|1
86|344992|18|16|883|344992|14|1
86|345046|56|50|20861|345046|38|1
86|345087|8|8|1809|345087|13|1
86|345258|39|33|26500|345258|26|1
86|345357|26|21|18539|345357|16|1
86|345492|6|6|505|345492|1|1
86|345510|13|10|1752|345510|1|1
86|345581|5|4|687|345581|8|2837
86|345586|3|3|41|345586|10|3616
86|345598|38|21|12337|345598|12|1
86|345718|5|4|7411|345718|5|1
86|345999|18|15|4766|345999|2|1
86|346231|26|25|14817|346231|7|1
86|346480|21|16|27080|346480|1|1
86|347456|9|6|8379|347456|1|1
86|348075|14|12|7143|348075|1|1
86|348367|11|10|22072|348367|5|1
86|348493|17|12|13388|348493|1|1
86|348574|21|13|22783|348574|6|1
86|348775|15|11|21246|348775|1|1
86|349064|15|10|5101|349064|1|1
86|350378|15|15|24542|350378|4|1
86|351086|10|10|15671|351086|1|1
86|352513|22|16|10914|352513|2|1
86|353097|6|6|19633|353097|2|1
86|353147|34|22|6985|353147|6|1
86|353546|16|15|3523|353546|13|4955
86|353557|5|5|1134|353557|2|1
86|353630|25|21|28660|353630|6|1
86|357402|27|16|23380|357402|9|1
86|357499|8|5|23228|357499|1|1
86|362654|8|6|14400|362654|1|1
86|362995|3|3|57|362995|1|1
86|363165|14|11|9801|363165|22|84218
86|363932|6|5|826|363932|1|1
86|371719|3|3|5808|371719|3|1
86|372200|20|18|10393|372200|14|1
86|372377|15|11|6887|372377|5|1
86|372463|8|7|7058|372463|1|1
86|383972|6|6|116|383972|3|1
86|384653|19|15|6418|384653|1|1
86|385355|17|11|15787|385355|5|1
86|385638|3|3|2029|385638|2|1
86|386099|9|7|28408|386099|4|1
86|386515|17|14|79249|386515|3|79229
86|386937|12|8|22051|386937|2|1
86|387116|14|10|4319|387116|8|4299
86|388498|4|3|49|388498|4|1
86|395776|20|14|151|395776|1|1
86|429688|10|7|19386|429688|3|1
86|430234|12|10|22187|430234|1|1
86|434055|2|1|47|434055|3|17880
86|435044|8|6|6745|435044|1|12727
86|438285|2|2|49|438285|1|1
86|555511|33|18|16717|555511|4|1
89|228688|7|6|481|228688|2|461
89|229179|9|7|231|229179|2|212
89|229216|3|3|30|229216|1|1
89|229471|6|6|425|229471|2|1
89|230231|18|13|5664|230231|2|1
89|231004|21|9|600|231004|2|580
89|231478|20|10|1511|231478|7|1491
89|231808|52|26|18967|231808|25|18947
89|233161|10|9|826|233161|1|806
89|233168|53|30|6971|233168|4|1
89|233235|13|11|10039|233235|2|10020
89|234879|4|4|65|234879|1|6012
89|234913|4|4|140|234913|1|120
89|235006|4|4|708|235006|1|688
89|235578|8|8|817|235578|3|797
89|237817|7|4|375|237817|1|1188
89|237821|5|5|697|237821|2|1
89|238071|36|11|1567|238071|37|1547
89|239644|9|5|2552|239644|1|2532
89|239762|10|5|549|239762|1|1
89|240447|5|5|1061|240447|2|1
89|240450|7|6|881|240450|2|861
89|242388|14|11|481|242388|1|461
89|242546|7|5|124|242546|1|1
89|242551|4|3|172|242551|5|1
89|242770|3|3|72|242770|1|1
89|242784|5|4|483|242784|1|1
89|243577|4|4|177|243577|1|1
89|244367|3|3|34|244367|1|1
89|244372|21|16|504|244372|1|484
89|244403|4|4|140|244403|1|2116
89|244556|9|8|1373|244556|1|1
89|244746|15|5|331|244746|1|1
89|244913|4|4|287|244913|2|1
89|245506|6|6|2059|245506|2|2039
89|245584|8|4|440|245584|1|1
89|245902|4|4|173|245902|1|1
89|246702|2|2|27|246702|1|1
89|248203|3|3|39|248203|1|1
89|248415|4|4|50|248415|1|546
89|248439|9|5|2783|248439|2|75192
89|248453|10|7|212|248453|4|192
89|248524|25|14|2893|248524|3|2873
89|249005|8|5|141|249005|1|1
89|249581|6|5|2262|249581|2|1
89|249616|3|3|655|249616|2|1
89|249742|7|6|939|249742|3|1
89|250121|4|4|333|250121|1|1
89|255531|15|11|24322|255531|4|24302
89|255600|5|4|144|255600|1|124
89|255601|8|5|2966|255601|2|5824
89|255619|27|13|7089|255619|15|7069
89|255849|9|5|1183|255849|4|1163
89|255939|13|7|2523|255939|17|2503
89|256127|16|7|3164|256127|18|3144
89|256212|8|8|1785|256212|3|1765
89|256315|6|4|313|256315|2|293
89|256905|10|9|13590|256905|11|13570
89|257550|21|16|2511|257550|1|2491
89|258140|4|4|285|258140|1|265
89|258305|10|7|179|258305|1|1
89|258568|21|15|1520|258568|3|1500
89|258573|16|6|86421|258573|2|1
89|259395|6|6|10706|259395|1|10686
89|259416|2|2|29|259416|1|1
89|261116|3|3|33|261116|1|1
89|261414|4|3|34|261414|1|1
89|261444|4|3|37|261444|1|172
89|261457|4|4|94|261457|1|1
89|262623|6|4|2883|262623|1|1
89|266960|9|5|905|266960|2|886
89|267046|8|8|676|267046|1|656
89|267048|8|6|574|267048|4|1
89|267765|3|2|71|267765|1|1
89|272747|10|9|1016|272747|2|1
89|279702|28|18|3940|279702|13|1
89|282685|13|12|3478|282685|3|3459
89|284994|15|10|12967|284994|1|12948
89|285099|2|2|174|285099|1|1
89|285229|16|11|5801|285229|7|5781
89|285599|4|4|2447|285599|3|2427
89|285887|7|5|5436|285887|5|5416
89|286156|7|4|2457|286156|6|1
89|286260|9|7|3894|286260|2|3874
89|286351|11|7|2880|286351|3|2860
89|295152|10|8|239|295152|5|1
89|296746|7|4|6556|296746|3|6536
89|297074|7|4|4103|297074|2|4084
89|299399|8|7|470|299399|4|448
89|301932|4|4|471|301932|1|1
89|305069|7|4|508|305069|1|1
89|309409|3|3|92|309409|1|73
89|319010|3|3|84|319010|1|1
89|329170|11|5|3255|329170|4|3236
89|356167|12|6|2561|356167|15|1
89|356261|156|30|4208|356261|52|1
89|357030|46|16|4860|357030|26|4840
89|357160|4|4|1547|357160|1|1527
89|357442|9|9|2811|357442|2|2791
89|357560|10|4|2361|357560|3|2341
89|358444|49|23|4594|358444|11|1
89|358469|4|4|2445|358469|1|2425
89|374210|7|7|301|374210|4|281
89|387311|4|4|193|387311|1|173
89|393240|3|3|60|393240|1|40
89|395350|8|6|254|395350|3|234
94|231423|4|4|65|231423|1|46
94|246387|3|3|1547|246387|1|1527
95|230928|26|11|7325|230928|3|1
95|234557|8|8|3235|234557|4|1
95|234765|6|5|9214|234765|2|1
95|235169|25|22|1693|235169|18|1
95|235426|6|6|65|235426|3|1
95|235429|21|17|3620|235429|14|1
95|235441|3|3|31|235441|1|1
95|238493|2|2|23|238493|25|1
95|242686|2|2|33|242686|1|1
95|243995|4|4|1511|243995|5|1491
95|244457|6|4|96|244457|1|76
95|245012|20|7|321|245012|1|301
95|245014|2|2|23|245014|1|1
95|245015|22|9|1129|245015|23|1110
95|245111|20|8|903|245111|8|883
95|245357|5|4|573|245357|1|1
95|245408|18|6|729|245408|17|1
95|245438|5|4|1172|245438|2|1152
95|245651|5|4|299|245651|5|1
95|245949|85|18|2891|245949|49|1
